Date,Code,Name,Market,TimeSession,EntryPrice,ExitPrice,Slippage(%),PnL(%),MinPnL(%),MaxPnL(%),VolBurstRatio,EntryATR,EntryVWAPGap(%),MacroTrend,MacroGap(%),HoldTime(s),ExitReason
2026-04-10 09:19:38,011930,신성이엔지,KOSPI,Open(09:00~09:30),3475,3470,-0.14,-0.14,-0.14,1.44,5.44,49.29,2.97,정배열,0.0,92,트레일링스탑(익절)
2026-04-10 09:20:16,095610,테스,KOSDAQ,Open(09:00~09:30),84000,84400,-0.12,0.48,-0.6,2.74,4.22,1178.57,2.31,정배열,0.0,652,트레일링스탑(익절)
2026-04-10 09:20:27,034220,LG디스플레이,KOSPI,Open(09:00~09:30),12710,12710,0.0,0.0,-0.55,1.49,4.12,125.0,2.09,정배열,0.0,299,트레일링스탑(익절)
2026-04-10 09:23:29,009150,삼성전기,KOSPI,Open(09:00~09:30),569000,560000,0.0,-1.58,-1.58,0.18,2.6,6214.29,2.96,정배열,0.0,482,손절(SL)
2026-04-10 09:28:51,079550,LIG넥스원,KOSPI,Open(09:00~09:30),945000,932000,0.0,-1.38,-1.38,-0.32,2.53,11785.71,2.77,정배열,0.0,84,손절(SL)
2026-04-10 09:32:32,050890,쏠리드,KOSDAQ,Open(09:00~09:30),16010,16240,0.12,1.44,-0.75,1.44,2.81,275.71,2.91,정배열,0.0,459,50%분할익절
2026-04-10 09:55:45,050890,쏠리드,KOSDAQ,Open(09:00~09:30),16010,16810,0.0,5.0,-0.75,7.18,2.81,275.71,2.91,정배열,0.0,1851,트레일링스탑(익절)
2026-04-10 10:00:38,049080,기가레인,KOSDAQ,Mid(09:30~14:00),2670,2600,0.0,-2.62,-2.62,-2.06,4.88,60.0,0.93,정배열,0.0,17,손절(SL)
2026-04-10 10:01:21,353200,대덕전자,KOSPI,Mid(09:30~14:00),92100,92100,0.0,0.0,-0.87,2.28,4.08,1114.29,1.32,정배열,0.0,1129,본절방어
2026-04-10 10:17:10,215790,이노인스트루먼트,KOSDAQ,Mid(09:30~14:00),3075,3070,-0.16,-0.16,-2.11,1.95,3.93,86.79,1.18,정배열,0.0,97,본절방어
2026-04-10 10:20:06,001440,대한전선,KOSPI,Mid(09:30~14:00),31900,31900,0.0,0.0,-1.1,1.25,4.52,232.14,2.01,정배열,0.0,1339,본절방어
2026-04-10 10:28:06,005880,대한해운,KOSPI,Mid(09:30~14:00),2530,2595,0.0,2.57,-1.58,2.57,11.38,17.14,2.62,정배열,0.0,600,50%분할익절
2026-04-10 10:29:23,322000,HD현대에너지솔루션,KOSPI,Mid(09:30~14:00),173000,169100,-0.06,-2.25,-2.25,0.12,6.12,1464.29,2.94,정배열,0.0,472,손절(SL)
2026-04-10 10:36:16,005880,대한해운,KOSPI,Mid(09:30~14:00),2530,2635,-0.19,4.15,-1.58,6.52,11.38,17.14,2.62,정배열,0.0,1090,트레일링스탑(익절)
2026-04-10 10:45:38,006360,GS건설,KOSPI,Mid(09:30~14:00),38500,38500,0.0,0.0,-0.52,1.17,3.51,317.86,3.0,정배열,0.0,177,본절방어
2026-04-10 10:53:03,047040,대우건설,KOSPI,Mid(09:30~14:00),25150,24500,0.0,-2.58,-2.58,-0.6,3.67,253.57,1.91,정배열,0.0,466,손절(SL)
2026-04-10 10:55:08,038500,삼표시멘트,KOSDAQ,Mid(09:30~14:00),18460,18010,-0.28,-2.44,-2.44,0.11,2.15,160.0,-0.84,정배열,0.0,588,손절(SL)
2026-04-10 11:05:29,375500,DL이앤씨,KOSPI,Mid(09:30~14:00),97100,94800,0.0,-2.37,-2.37,-0.1,2.18,721.43,1.64,정배열,0.0,1366,손절(SL)
2026-04-10 11:17:43,024060,흥구석유,KOSDAQ,Mid(09:30~14:00),19290,19290,0.0,0.0,-0.41,1.24,2.01,68.93,0.37,정배열,0.0,4641,본절방어
2026-04-10 11:18:27,218410,RFHIC,KOSDAQ,Mid(09:30~14:00),94300,92100,0.0,-2.33,-2.33,-0.11,6.37,771.43,2.6,정배열,0.0,2501,손절(SL)
2026-04-10 12:05:16,047040,대우건설,KOSPI,Mid(09:30~14:00),25350,24650,0.0,-2.76,-2.76,0.0,3.82,242.86,2.56,정배열,0.0,2458,손절(SL)
2026-04-10 12:42:41,001820,삼화콘덴서,KOSPI,Mid(09:30~14:00),62900,61300,0.0,-2.54,-2.54,-0.32,3.16,407.14,0.56,정배열,0.0,5619,손절(SL)
2026-04-10 13:24:39,005290,동진쎄미켐,KOSDAQ,Mid(09:30~14:00),48800,48800,0.0,0.0,-0.61,1.33,3.07,314.29,0.51,정배열,0.0,1800,본절방어
2026-04-10 14:31:12,322000,HD현대에너지솔루션,KOSPI,Mid(09:30~14:00),173400,169600,0.0,-2.19,-2.19,-0.23,4.19,925.0,2.58,정배열,0.0,4524,손절(SL)
2026-04-10 14:54:30,047040,대우건설,KOSPI,Mid(09:30~14:00),25150,24500,0.0,-2.58,-2.58,-0.6,3.9,125.0,1.51,정배열,0.0,4149,손절(SL)
2026-04-10 15:10:44,000720,현대건설,KOSPI,Mid(09:30~14:00),184300,180300,0.0,-2.17,-2.17,-0.16,2.87,721.43,0.57,정배열,0.0,15926,손절(SL)
2026-04-10 15:17:36,005930,삼성전자,KOSPI,Mid(09:30~14:00),211500,205500,0.0,-2.84,-2.84,-0.24,2.14,785.71,0.82,정배열,0.0,17612,손절(SL)
2026-04-10 15:19:32,008350,남선알미늄,KOSPI,Mid(09:30~14:00),2260,2200,0.0,-2.65,-2.65,0.22,10.22,12.14,0.07,정배열,0.0,6363,손절(SL)
2026-04-13 09:00:06,079550,LIG넥스원,KOSPI,Mid(09:30~14:00),940000,978000,1.24,4.04,-2.02,4.04,4.02,3500.0,1.41,정배열,0.0,245835,50%분할익절
